Quarter,Month,Week,Product Type,Territory,Sales Channel,Customer Type,Revenue,Cost
Q2/2011,11-Apr,W18-2011,Computers & Tablets,North America,Internet,Internet Direct,83926,39626
Q2/2011,11-Apr,W18-2011,TV & Home Theatre,North America,Direct,Branded Stores,1064,1024
Q2/2011,11-Apr,W18-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,2500,3189
Q2/2011,11-Apr,W18-2011,Cameras,North America,Direct,Branded Stores,2495,3326
Q2/2011,11-Apr,W18-2011,Cameras,North America,Internet,Entertainment Venues,5906,3560
Q2/2011,11-Apr,W18-2011,Mobile,North America,Direct,Entertainment Venues,1052,984
Q2/2011,11-Apr,W18-2011,Mobile,North America,Direct,Branded Stores,5073,3548
Q2/2011,11-Apr,W18-2011,Mobile,North America,Internet,Entertainment Venues,1968,1077
Q2/2011,11-Apr,W18-2011,Mobile,North America,Retail,Entertainment Venues,5104,4650
Q2/2011,11-Apr,W18-2011,Repairs,North America,Direct,Entertainment Venues,30145,9384
Q2/2011,11-Apr,W18-2011,Portable Electronics,North America,Direct,Retail,37508,34636
Q2/2011,11-Apr,W18-2011,Portable Electronics,North America,Internet,Internet Direct,13528,5019
Q2/2011,11-May,W19-2011,Computers & Tablets,North America,Direct,Retail,13839,20138
Q2/2011,11-May,W19-2011,Computers & Tablets,North America,Internet,Entertainment Venues,55712,32739
Q2/2011,11-May,W19-2011,Computers & Tablets,North America,Retail,Retail,65559,97001
Q2/2011,11-May,W19-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,191125,126153
Q2/2011,11-May,W19-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,21800,11999
Q2/2011,11-May,W19-2011,Cameras,North America,Internet,Entertainment Venues,2246,959
Q2/2011,11-May,W19-2011,Cameras,North America,Internet,Retail,2008,1796
Q2/2011,11-May,W19-2011,Cameras,North America,Retail,Entertainment Venues,2540,2596
Q2/2011,11-May,W19-2011,Office Supplies,North America,Direct,Entertainment Venues,3754,1151
Q2/2011,11-May,W19-2011,Office Supplies,North America,Direct,Branded Stores,54800,31797
Q2/2011,11-May,W19-2011,Office Supplies,North America,Retail,Retail,38721,41526
Q2/2011,11-May,W19-2011,Portable Electronics,North America,Direct,Entertainment Venues,306,264
Q2/2011,11-May,W19-2011,Portable Electronics,North America,Direct,Retail,2176,2355
Q2/2011,11-May,W19-2011,Portable Electronics,North America,Internet,Entertainment Venues,9461,4609
Q2/2011,11-May,W19-2011,Portable Electronics,North America,Retail,Entertainment Venues,17359,13646
Q2/2011,11-May,W20-2011,Computers & Tablets,North America,Direct,Entertainment Venues,758,551
Q2/2011,11-May,W20-2011,Computers & Tablets,North America,Direct,Internet Direct,4386,2508
Q2/2011,11-May,W20-2011,Computers & Tablets,North America,Internet,Entertainment Venues,398,301
Q2/2011,11-May,W20-2011,Computers & Tablets,North America,Internet,Branded Stores,29920,30721
Q2/2011,11-May,W20-2011,Computers & Tablets,North America,Internet,Internet Direct,9344,2627
Q2/2011,11-May,W20-2011,Computers & Tablets,North America,Retail,Entertainment Venues,23173,18814
Q2/2011,11-May,W20-2011,Computers & Tablets,North America,Retail,Retail,73742,123939
Q2/2011,11-May,W20-2011,TV & Home Theatre,North America,Retail,Retail,810,1590
Q2/2011,11-May,W20-2011,Cameras,North America,Internet,Branded Stores,15772,15262
Q2/2011,11-May,W20-2011,Mobile,North America,Direct,Entertainment Venues,13836,6679
Q2/2011,11-May,W20-2011,Mobile,North America,Internet,Entertainment Venues,6873,2953
Q2/2011,11-May,W20-2011,Mobile,North America,Internet,Retail,2977,3218
Q2/2011,11-May,W20-2011,Mobile,North America,Retail,Retail,2075,3271
Q2/2011,11-May,W20-2011,Office Supplies,North America,Direct,Branded Stores,87477,58028
Q2/2011,11-May,W20-2011,Office Supplies,North America,Direct,Retail,32263,23758
Q2/2011,11-May,W20-2011,Office Supplies,North America,Retail,Internet Direct,24160,6899
Q2/2011,11-May,W20-2011,Repairs,North America,Internet,Entertainment Venues,22063,4076
Q2/2011,11-May,W20-2011,Portable Electronics,North America,Direct,Entertainment Venues,2751,1062
Q2/2011,11-May,W20-2011,Portable Electronics,North America,Direct,Branded Stores,40248,29053
Q2/2011,11-May,W20-2011,Portable Electronics,North America,Direct,Retail,2003,2836
Q2/2011,11-May,W20-2011,Portable Electronics,North America,Internet,Entertainment Venues,2394,1288
Q2/2011,11-May,W20-2011,Portable Electronics,North America,Internet,Retail,38294,39965
Q2/2011,11-May,W20-2011,Portable Electronics,North America,Internet,Internet Direct,13978,4329
Q2/2011,11-May,W20-2011,Portable Electronics,North America,Retail,Entertainment Venues,15993,13935
Q2/2011,11-May,W21-2011,Computers & Tablets,North America,Direct,Entertainment Venues,15589,14156
Q2/2011,11-May,W21-2011,Computers & Tablets,North America,Direct,Branded Stores,75715,129394
Q2/2011,11-May,W21-2011,Computers & Tablets,North America,Direct,Internet Direct,488,272
Q2/2011,11-May,W21-2011,Computers & Tablets,North America,Internet,Entertainment Venues,6405,4052
Q2/2011,11-May,W21-2011,Computers & Tablets,North America,Internet,Branded Stores,30437,25307
Q2/2011,11-May,W21-2011,Cameras,North America,Internet,Retail,6846,7748
Q2/2011,11-May,W21-2011,Cameras,North America,Retail,Entertainment Venues,4119,4080
Q2/2011,11-May,W21-2011,Cameras,North America,Retail,Branded Stores,14035,25640
Q2/2011,11-May,W21-2011,Cameras,North America,Retail,Retail,23171,58388
Q2/2011,11-May,W21-2011,Mobile,North America,Internet,Retail,583,498
Q2/2011,11-May,W21-2011,Mobile,North America,Retail,Entertainment Venues,3561,3480
Q2/2011,11-May,W21-2011,Mobile,North America,Retail,Retail,1976,2961
Q2/2011,11-May,W21-2011,Office Supplies,North America,Internet,Entertainment Venues,17998,6606
Q2/2011,11-May,W21-2011,Portable Electronics,North America,Direct,Retail,38923,49216
Q2/2011,11-May,W21-2011,Portable Electronics,North America,Internet,Entertainment Venues,9306,4158
Q2/2011,11-May,W21-2011,Portable Electronics,North America,Internet,Branded Stores,17560,8456
Q2/2011,11-May,W21-2011,Portable Electronics,North America,Retail,Retail,3593,6310
Q2/2011,11-May,W22-2011,Computers & Tablets,North America,Direct,Entertainment Venues,736,725
Q2/2011,11-May,W22-2011,Computers & Tablets,North America,Direct,Retail,14269,33436
Q2/2011,11-May,W22-2011,Computers & Tablets,North America,Retail,Entertainment Venues,1089,819
Q2/2011,11-May,W22-2011,Computers & Tablets,North America,Retail,Internet Direct,73866,43354
Q2/2011,11-May,W22-2011,TV & Home Theatre,North America,Direct,Retail,1116,1596
Q2/2011,11-May,W22-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,1643,842
Q2/2011,11-May,W22-2011,Cameras,North America,Direct,Entertainment Venues,35697,30608
Q2/2011,11-May,W22-2011,Cameras,North America,Retail,Retail,16131,32535
Q2/2011,11-May,W22-2011,Mobile,North America,Direct,Entertainment Venues,4563,2380
Q2/2011,11-May,W22-2011,Mobile,North America,Internet,Retail,19839,14029
Q2/2011,11-May,W22-2011,Office Supplies,North America,Internet,Entertainment Venues,24554,6798
Q2/2011,11-May,W22-2011,Office Supplies,North America,Retail,Retail,29015,30782
Q2/2011,11-May,W22-2011,Repairs,North America,Direct,Entertainment Venues,11327,4022
Q2/2011,11-May,W22-2011,Repairs,North America,Direct,Retail,20638,11538
Q2/2011,11-May,W22-2011,Portable Electronics,North America,Internet,Entertainment Venues,582,256
Q2/2011,11-May,W22-2011,Portable Electronics,North America,Internet,Retail,1096,1393
Q2/2011,11-May,W22-2011,Portable Electronics,North America,Retail,Branded Stores,53704,65964
Q2/2011,11-May,W23-2011,Computers & Tablets,North America,Direct,Entertainment Venues,3947,5515
Q2/2011,11-May,W23-2011,Computers & Tablets,North America,Retail,Branded Stores,51014,63569
Q2/2011,11-May,W23-2011,Cameras,North America,Retail,Retail,23865,42866
Q2/2011,11-May,W23-2011,Mobile,North America,Direct,Retail,2461,3054
Q2/2011,11-May,W23-2011,Mobile,North America,Internet,Retail,1588,988
Q2/2011,11-May,W23-2011,Mobile,North America,Retail,Entertainment Venues,526,531
Q2/2011,11-May,W23-2011,Portable Electronics,North America,Direct,Entertainment Venues,2879,1531
Q2/2011,11-May,W23-2011,Portable Electronics,North America,Internet,Entertainment Venues,19515,7658
Q2/2011,11-May,W23-2011,Portable Electronics,North America,Retail,Branded Stores,2256,3260
Q2/2011,11-Jun,W23-2011,Computers & Tablets,North America,Direct,Retail,14390,22662
Q2/2011,11-Jun,W23-2011,Computers & Tablets,North America,Internet,Entertainment Venues,11229,7787
Q2/2011,11-Jun,W23-2011,TV & Home Theatre,North America,Internet,Retail,7300,5956
Q2/2011,11-Jun,W23-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,589,664
Q2/2011,11-Jun,W23-2011,Office Supplies,North America,Retail,Retail,3868,5252
Q2/2011,11-Jun,W23-2011,Repairs,North America,Internet,Retail,25182,10824
Q2/2011,11-Jun,W23-2011,Portable Electronics,North America,Internet,Entertainment Venues,3257,1374
Q2/2011,11-Jun,W24-2011,Computers & Tablets,North America,Direct,Entertainment Venues,872,746
Q2/2011,11-Jun,W24-2011,Computers & Tablets,North America,Internet,Entertainment Venues,56807,32715
Q2/2011,11-Jun,W24-2011,Computers & Tablets,North America,Retail,Entertainment Venues,17144,10452
Q2/2011,11-Jun,W24-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,12146,9753
Q2/2011,11-Jun,W24-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,2908,2388
Q2/2011,11-Jun,W24-2011,Cameras,North America,Direct,Branded Stores,4634,3433
Q2/2011,11-Jun,W24-2011,Cameras,North America,Direct,Retail,23458,25164
Q2/2011,11-Jun,W24-2011,Cameras,North America,Internet,Entertainment Venues,57227,30019
Q2/2011,11-Jun,W24-2011,Mobile,North America,Direct,Retail,9536,11499
Q2/2011,11-Jun,W24-2011,Mobile,North America,Internet,Entertainment Venues,959,465
Q2/2011,11-Jun,W24-2011,Mobile,North America,Retail,Entertainment Venues,539,533
Q2/2011,11-Jun,W24-2011,Mobile,North America,Retail,Retail,63871,100976
Q2/2011,11-Jun,W24-2011,Office Supplies,North America,Internet,Entertainment Venues,19189,8489
Q2/2011,11-Jun,W24-2011,Office Supplies,North America,Retail,Entertainment Venues,7167,3231
Q2/2011,11-Jun,W24-2011,Repairs,North America,Direct,Entertainment Venues,15144,5528
Q2/2011,11-Jun,W24-2011,Portable Electronics,North America,Internet,Entertainment Venues,16076,7405
Q2/2011,11-Jun,W25-2011,Computers & Tablets,North America,Direct,Entertainment Venues,23699,25140
Q2/2011,11-Jun,W25-2011,Computers & Tablets,North America,Internet,Entertainment Venues,111728,74309
Q2/2011,11-Jun,W25-2011,Computers & Tablets,North America,Retail,Retail,67836,138414
Q2/2011,11-Jun,W25-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,196607,112514
Q2/2011,11-Jun,W25-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,29185,16157
Q2/2011,11-Jun,W25-2011,Cameras,North America,Direct,Entertainment Venues,1435,1033
Q2/2011,11-Jun,W25-2011,Cameras,North America,Internet,Entertainment Venues,10343,5842
Q2/2011,11-Jun,W25-2011,Mobile,North America,Direct,Entertainment Venues,1176,793
Q2/2011,11-Jun,W25-2011,Mobile,North America,Direct,Retail,12991,12801
Q2/2011,11-Jun,W25-2011,Mobile,North America,Internet,Retail,50717,52612
Q2/2011,11-Jun,W25-2011,Office Supplies,North America,Retail,Retail,31599,33367
Q2/2011,11-Jun,W25-2011,Repairs,North America,Direct,Retail,73625,33258
Q2/2011,11-Jun,W25-2011,Portable Electronics,North America,Direct,Entertainment Venues,29108,14738
Q2/2011,11-Jun,W25-2011,Portable Electronics,North America,Retail,Entertainment Venues,4913,4318
Q2/2011,11-Jun,W25-2011,Portable Electronics,North America,Retail,Retail,9742,16480
Q2/2011,11-Jun,W26-2011,Computers & Tablets,North America,Internet,Entertainment Venues,67165,50269
Q2/2011,11-Jun,W26-2011,Computers & Tablets,North America,Internet,Retail,14917,16814
Q2/2011,11-Jun,W26-2011,Computers & Tablets,North America,Internet,Internet Direct,114067,41722
Q2/2011,11-Jun,W26-2011,Computers & Tablets,North America,Retail,Retail,121356,188075
Q2/2011,11-Jun,W26-2011,TV & Home Theatre,North America,Direct,Retail,11080,12725
Q2/2011,11-Jun,W26-2011,TV & Home Theatre,North America,Direct,Internet Direct,2267,708
Q2/2011,11-Jun,W26-2011,TV & Home Theatre,North America,Internet,Retail,61830,63055
Q2/2011,11-Jun,W26-2011,Cameras,North America,Direct,Entertainment Venues,13682,9939
Q2/2011,11-Jun,W26-2011,Cameras,North America,Internet,Branded Stores,2118,1400
Q2/2011,11-Jun,W26-2011,Cameras,North America,Internet,Retail,2599,3394
Q2/2011,11-Jun,W26-2011,Cameras,North America,Retail,Branded Stores,7833,9919
Q2/2011,11-Jun,W26-2011,Mobile,North America,Internet,Entertainment Venues,16764,7403
Q2/2011,11-Jun,W26-2011,Mobile,North America,Retail,Entertainment Venues,2149,1412
Q2/2011,11-Jun,W26-2011,Office Supplies,North America,Direct,Entertainment Venues,21064,6920
Q2/2011,11-Jun,W26-2011,Repairs,North America,Direct,Entertainment Venues,15199,4996
Q2/2011,11-Jun,W26-2011,Repairs,North America,Internet,Entertainment Venues,33787,9626
Q2/2011,11-Jun,W26-2011,Portable Electronics,North America,Internet,Entertainment Venues,491,233
Q2/2011,11-Jun,W26-2011,Portable Electronics,North America,Internet,Retail,6006,5153
Q2/2011,11-Jun,W26-2011,Portable Electronics,North America,Retail,Retail,2501,3893
Q2/2011,11-Jun,W27-2011,Computers & Tablets,North America,Direct,Entertainment Venues,28815,33994
Q2/2011,11-Jun,W27-2011,Computers & Tablets,North America,Direct,Branded Stores,620,796
Q2/2011,11-Jun,W27-2011,Computers & Tablets,North America,Retail,Retail,36426,52082
Q2/2011,11-Jun,W27-2011,TV & Home Theatre,North America,Retail,Retail,3329,6443
Q2/2011,11-Jun,W27-2011,Cameras,North America,Direct,Entertainment Venues,1180,1002
Q2/2011,11-Jun,W27-2011,Mobile,North America,Internet,Branded Stores,7354,3082
Q2/2011,11-Jun,W27-2011,Office Supplies,North America,Internet,Entertainment Venues,1685,634
Q2/2011,11-Jun,W27-2011,Office Supplies,North America,Internet,Retail,8651,5658
Q2/2011,11-Jun,W27-2011,Office Supplies,North America,Retail,Retail,829,1086
Q2/2011,11-Jun,W27-2011,Repairs,North America,Retail,Retail,44328,42225
Q2/2011,11-Jun,W27-2011,Portable Electronics,North America,Direct,Entertainment Venues,8869,4842
Q3/2011,11-Jul,W27-2011,Computers & Tablets,North America,Direct,Retail,64164,132788
Q3/2011,11-Jul,W27-2011,Computers & Tablets,North America,Internet,Entertainment Venues,998,494
Q3/2011,11-Jul,W27-2011,Portable Electronics,North America,Direct,Retail,15302,16819
Q3/2011,11-Jul,W28-2011,Computers & Tablets,North America,Direct,Entertainment Venues,9408,9518
Q3/2011,11-Jul,W28-2011,Computers & Tablets,North America,Direct,Branded Stores,20056,21228
Q3/2011,11-Jul,W28-2011,Computers & Tablets,North America,Retail,Entertainment Venues,3061,1972
Q3/2011,11-Jul,W28-2011,Computers & Tablets,North America,Retail,Retail,63153,94454
Q3/2011,11-Jul,W28-2011,Computers & Tablets,North America,Retail,Internet Direct,154103,75117
Q3/2011,11-Jul,W28-2011,TV & Home Theatre,North America,Direct,Branded Stores,8646,7038
Q3/2011,11-Jul,W28-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,31806,11893
Q3/2011,11-Jul,W28-2011,Cameras,North America,Internet,Entertainment Venues,1430,644
Q3/2011,11-Jul,W28-2011,Mobile,North America,Direct,Branded Stores,69794,49649
Q3/2011,11-Jul,W28-2011,Mobile,North America,Direct,Retail,5188,4425
Q3/2011,11-Jul,W28-2011,Mobile,North America,Internet,Entertainment Venues,16317,7866
Q3/2011,11-Jul,W28-2011,Office Supplies,North America,Internet,Entertainment Venues,4969,1607
Q3/2011,11-Jul,W28-2011,Office Supplies,North America,Retail,Entertainment Venues,554,288
Q3/2011,11-Jul,W28-2011,Office Supplies,North America,Retail,Retail,1069,1254
Q3/2011,11-Jul,W28-2011,Portable Electronics,North America,Direct,Entertainment Venues,35628,24975
Q3/2011,11-Jul,W28-2011,Portable Electronics,North America,Direct,Retail,3964,5040
Q3/2011,11-Jul,W28-2011,Portable Electronics,North America,Internet,Entertainment Venues,13866,5179
Q3/2011,11-Jul,W29-2011,Computers & Tablets,North America,Direct,Entertainment Venues,28307,30308
Q3/2011,11-Jul,W29-2011,Computers & Tablets,North America,Internet,Entertainment Venues,2201,1508
Q3/2011,11-Jul,W29-2011,Computers & Tablets,North America,Retail,Retail,55588,106791
Q3/2011,11-Jul,W29-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,23859,15470
Q3/2011,11-Jul,W29-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,94990,57621
Q3/2011,11-Jul,W29-2011,Cameras,North America,Internet,Entertainment Venues,89169,49259
Q3/2011,11-Jul,W29-2011,Cameras,North America,Retail,Branded Stores,27428,44699
Q3/2011,11-Jul,W29-2011,Mobile,North America,Internet,Entertainment Venues,492,208
Q3/2011,11-Jul,W29-2011,Mobile,North America,Retail,Entertainment Venues,9905,8612
Q3/2011,11-Jul,W29-2011,Mobile,North America,Retail,Internet Direct,36361,23282
Q3/2011,11-Jul,W29-2011,Office Supplies,North America,Direct,Retail,1579,1523
Q3/2011,11-Jul,W29-2011,Office Supplies,North America,Internet,Entertainment Venues,5163,1104
Q3/2011,11-Jul,W29-2011,Office Supplies,North America,Retail,Entertainment Venues,25433,16761
Q3/2011,11-Jul,W29-2011,Repairs,North America,Direct,Entertainment Venues,11189,3187
Q3/2011,11-Jul,W29-2011,Repairs,North America,Internet,Entertainment Venues,6443,1998
Q3/2011,11-Jul,W29-2011,Portable Electronics,North America,Direct,Retail,76882,82493
Q3/2011,11-Jul,W29-2011,Portable Electronics,North America,Retail,Entertainment Venues,9951,10305
Q3/2011,11-Jul,W30-2011,Computers & Tablets,North America,Direct,Entertainment Venues,34551,28722
Q3/2011,11-Jul,W30-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,84334,54835
Q3/2011,11-Jul,W30-2011,Cameras,North America,Direct,Entertainment Venues,3124,3114
Q3/2011,11-Jul,W30-2011,Cameras,North America,Internet,Branded Stores,1245,924
Q3/2011,11-Jul,W30-2011,Cameras,North America,Internet,Retail,36889,43688
Q3/2011,11-Jul,W30-2011,Cameras,North America,Retail,Entertainment Venues,4923,5118
Q3/2011,11-Jul,W30-2011,Mobile,North America,Direct,Entertainment Venues,6872,3891
Q3/2011,11-Jul,W30-2011,Mobile,North America,Direct,Internet Direct,11167,3797
Q3/2011,11-Jul,W30-2011,Mobile,North America,Retail,Entertainment Venues,3850,2570
Q3/2011,11-Jul,W30-2011,Office Supplies,North America,Direct,Internet Direct,49604,11944
Q3/2011,11-Jul,W30-2011,Office Supplies,North America,Retail,Retail,2445,2560
Q3/2011,11-Jul,W30-2011,Portable Electronics,North America,Direct,Entertainment Venues,11256,8024
Q3/2011,11-Jul,W30-2011,Portable Electronics,North America,Direct,Retail,737,1102
Q3/2011,11-Jul,W30-2011,Portable Electronics,North America,Internet,Entertainment Venues,5753,2302
Q3/2011,11-Jul,W30-2011,Portable Electronics,North America,Internet,Retail,56320,61292
Q3/2011,11-Jul,W30-2011,Portable Electronics,North America,Retail,Entertainment Venues,41243,45007
Q3/2011,11-Jul,W30-2011,Portable Electronics,North America,Retail,Retail,31458,44043
Q3/2011,11-Jul,W31-2011,Computers & Tablets,North America,Internet,Entertainment Venues,33474,21509
Q3/2011,11-Jul,W31-2011,Computers & Tablets,North America,Internet,Retail,138857,144886
Q3/2011,11-Jul,W31-2011,Computers & Tablets,North America,Retail,Retail,25808,42885
Q3/2011,11-Jul,W31-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,31282,14698
Q3/2011,11-Jul,W31-2011,Cameras,North America,Direct,Entertainment Venues,7449,4232
Q3/2011,11-Jul,W31-2011,Cameras,North America,Internet,Entertainment Venues,41870,20016
Q3/2011,11-Jul,W31-2011,Cameras,North America,Retail,Entertainment Venues,6286,7457
Q3/2011,11-Jul,W31-2011,Mobile,North America,Direct,Entertainment Venues,12799,7541
Q3/2011,11-Jul,W31-2011,Mobile,North America,Internet,Entertainment Venues,37477,19446
Q3/2011,11-Jul,W31-2011,Mobile,North America,Retail,Entertainment Venues,9733,6901
Q3/2011,11-Jul,W31-2011,Office Supplies,North America,Direct,Entertainment Venues,10146,3822
Q3/2011,11-Jul,W31-2011,Office Supplies,North America,Internet,Entertainment Venues,1446,410
Q3/2011,11-Jul,W31-2011,Office Supplies,North America,Internet,Retail,2198,1350
Q3/2011,11-Jul,W31-2011,Office Supplies,North America,Retail,Entertainment Venues,939,493
Q3/2011,11-Jul,W31-2011,Office Supplies,North America,Retail,Retail,645,643
Q3/2011,11-Jul,W31-2011,Repairs,North America,Internet,Entertainment Venues,2527,492
Q3/2011,11-Jul,W31-2011,Repairs,North America,Retail,Internet Direct,4710,1273
Q3/2011,11-Jul,W31-2011,Portable Electronics,North America,Direct,Retail,3414,4570
Q3/2011,11-Jul,W31-2011,Portable Electronics,North America,Retail,Retail,23564,38264
Q3/2011,11-Jul,W32-2011,Computers & Tablets,North America,Internet,Entertainment Venues,16818,10499
Q3/2011,11-Jul,W32-2011,Portable Electronics,North America,Direct,Entertainment Venues,21507,12334
Q3/2011,11-Jul,W32-2011,Portable Electronics,North America,Internet,Retail,26757,18677
Q3/2011,11-Aug,W32-2011,Computers & Tablets,North America,Internet,Entertainment Venues,3283,1618
Q3/2011,11-Aug,W32-2011,Computers & Tablets,North America,Retail,Entertainment Venues,403,292
Q3/2011,11-Aug,W32-2011,TV & Home Theatre,North America,Retail,Branded Stores,78102,68027
Q3/2011,11-Aug,W32-2011,Cameras,North America,Direct,Entertainment Venues,1294,679
Q3/2011,11-Aug,W32-2011,Mobile,North America,Internet,Entertainment Venues,44600,18537
Q3/2011,11-Aug,W32-2011,Office Supplies,North America,Direct,Entertainment Venues,34230,14482
Q3/2011,11-Aug,W32-2011,Office Supplies,North America,Direct,Retail,11284,7105
Q3/2011,11-Aug,W32-2011,Office Supplies,North America,Internet,Entertainment Venues,15055,3600
Q3/2011,11-Aug,W32-2011,Office Supplies,North America,Internet,Retail,1369,936
Q3/2011,11-Aug,W32-2011,Repairs,North America,Direct,Branded Stores,91961,30645
Q3/2011,11-Aug,W32-2011,Portable Electronics,North America,Direct,Entertainment Venues,2698,1715
Q3/2011,11-Aug,W32-2011,Portable Electronics,North America,Internet,Retail,25399,24498
Q3/2011,11-Aug,W33-2011,Computers & Tablets,North America,Direct,Entertainment Venues,14026,17012
Q3/2011,11-Aug,W33-2011,Computers & Tablets,North America,Direct,Branded Stores,57918,60608
Q3/2011,11-Aug,W33-2011,TV & Home Theatre,North America,Direct,Retail,8576,9547
Q3/2011,11-Aug,W33-2011,Cameras,North America,Internet,Entertainment Venues,18098,8603
Q3/2011,11-Aug,W33-2011,Cameras,North America,Retail,Entertainment Venues,2353,1614
Q3/2011,11-Aug,W33-2011,Mobile,North America,Direct,Retail,5994,4886
Q3/2011,11-Aug,W33-2011,Mobile,North America,Internet,Entertainment Venues,1664,580
Q3/2011,11-Aug,W33-2011,Office Supplies,North America,Internet,Retail,2178,1676
Q3/2011,11-Aug,W33-2011,Office Supplies,North America,Retail,Entertainment Venues,851,422
Q3/2011,11-Aug,W33-2011,Repairs,North America,Direct,Entertainment Venues,13326,4257
Q3/2011,11-Aug,W33-2011,Portable Electronics,North America,Direct,Branded Stores,58633,45670
Q3/2011,11-Aug,W33-2011,Portable Electronics,North America,Retail,Retail,10832,15613
Q3/2011,11-Aug,W34-2011,Computers & Tablets,North America,Direct,Entertainment Venues,39286,35047
Q3/2011,11-Aug,W34-2011,Computers & Tablets,North America,Internet,Entertainment Venues,5162,2731
Q3/2011,11-Aug,W34-2011,Computers & Tablets,North America,Internet,Branded Stores,76078,69738
Q3/2011,11-Aug,W34-2011,Computers & Tablets,North America,Retail,Internet Direct,117893,61712
Q3/2011,11-Aug,W34-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,1693,1798
Q3/2011,11-Aug,W34-2011,Cameras,North America,Direct,Entertainment Venues,55512,40694
Q3/2011,11-Aug,W34-2011,Cameras,North America,Internet,Entertainment Venues,25392,13147
Q3/2011,11-Aug,W34-2011,Mobile,North America,Retail,Entertainment Venues,3286,1982
Q3/2011,11-Aug,W34-2011,Office Supplies,North America,Direct,Entertainment Venues,587,290
Q3/2011,11-Aug,W34-2011,Office Supplies,North America,Direct,Retail,1211,799
Q3/2011,11-Aug,W34-2011,Office Supplies,North America,Retail,Entertainment Venues,38117,14831
Q3/2011,11-Aug,W34-2011,Office Supplies,North America,Retail,Retail,6845,5464
Q3/2011,11-Aug,W34-2011,Portable Electronics,North America,Direct,Entertainment Venues,32183,19475
Q3/2011,11-Aug,W34-2011,Portable Electronics,North America,Internet,Entertainment Venues,7787,3305
Q3/2011,11-Aug,W34-2011,Portable Electronics,North America,Internet,Branded Stores,28732,15828
Q3/2011,11-Aug,W34-2011,Portable Electronics,North America,Retail,Internet Direct,41251,22989
Q3/2011,11-Aug,W35-2011,Computers & Tablets,North America,Direct,Entertainment Venues,32730,35435
Q3/2011,11-Aug,W35-2011,Computers & Tablets,North America,Direct,Branded Stores,43710,70558
Q3/2011,11-Aug,W35-2011,Computers & Tablets,North America,Internet,Entertainment Venues,1001,701
Q3/2011,11-Aug,W35-2011,Computers & Tablets,North America,Internet,Branded Stores,55420,52930
Q3/2011,11-Aug,W35-2011,Computers & Tablets,North America,Internet,Internet Direct,167887,62568
Q3/2011,11-Aug,W35-2011,Cameras,North America,Direct,Entertainment Venues,44883,21935
Q3/2011,11-Aug,W35-2011,Cameras,North America,Internet,Entertainment Venues,27843,16786
Q3/2011,11-Aug,W35-2011,Cameras,North America,Internet,Branded Stores,134326,84817
Q3/2011,11-Aug,W35-2011,Cameras,North America,Internet,Retail,23604,26855
Q3/2011,11-Aug,W35-2011,Cameras,North America,Retail,Entertainment Venues,82068,68665
Q3/2011,11-Aug,W35-2011,Mobile,North America,Internet,Entertainment Venues,3322,1120
Q3/2011,11-Aug,W35-2011,Mobile,North America,Retail,Entertainment Venues,23765,17540
Q3/2011,11-Aug,W35-2011,Office Supplies,North America,Direct,Retail,5638,4004
Q3/2011,11-Aug,W35-2011,Office Supplies,North America,Internet,Entertainment Venues,43971,16134
Q3/2011,11-Aug,W35-2011,Repairs,North America,Retail,Entertainment Venues,19809,6404
Q3/2011,11-Aug,W35-2011,Portable Electronics,North America,Direct,Entertainment Venues,15211,7364
Q3/2011,11-Aug,W35-2011,Portable Electronics,North America,Direct,Retail,21368,23620
Q3/2011,11-Aug,W35-2011,Portable Electronics,North America,Retail,Entertainment Venues,18381,14342
Q3/2011,11-Aug,W36-2011,Computers & Tablets,North America,Direct,Entertainment Venues,3080,3325
Q3/2011,11-Aug,W36-2011,Computers & Tablets,North America,Direct,Internet Direct,64739,41210
Q3/2011,11-Aug,W36-2011,Computers & Tablets,North America,Internet,Retail,49942,59976
Q3/2011,11-Aug,W36-2011,Computers & Tablets,North America,Retail,Retail,160193,242121
Q3/2011,11-Aug,W36-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,2009,1378
Q3/2011,11-Aug,W36-2011,TV & Home Theatre,North America,Internet,Retail,2660,2704
Q3/2011,11-Aug,W36-2011,Cameras,North America,Direct,Entertainment Venues,3106,1804
Q3/2011,11-Aug,W36-2011,Cameras,North America,Retail,Retail,100941,145847
Q3/2011,11-Aug,W36-2011,Mobile,North America,Direct,Branded Stores,10761,8305
